distance_m,speed_kmh,ax_g,battery_power_kw,soc_pct,motor_temp_c,limiting_factor
0.0000,120.0000,0.0000,30.0651,89.8377,342.2303,cruise
0.5002,120.0000,0.0000,30.0651,89.8363,342.1911,cruise
1.0004,120.0000,0.0000,30.0651,89.8348,342.1518,cruise
1.5006,120.0000,0.0000,30.0651,89.8334,342.1125,cruise
2.0007,120.0000,0.0000,30.0651,89.8320,342.0733,cruise
2.5009,120.0000,0.0000,30.0651,89.8305,342.0340,cruise
3.0011,120.0000,0.0000,30.0651,89.8291,341.9948,cruise
3.5013,120.0000,0.0000,30.0651,89.8277,341.9556,cruise
4.0015,120.0000,0.0000,30.0651,89.8262,341.9163,cruise
4.5017,120.0000,0.0000,30.0651,89.8248,341.8771,cruise
5.0018,120.0000,0.0000,30.0651,89.8234,341.8379,cruise
5.5020,120.0000,0.0000,30.0651,89.8219,341.7987,cruise
6.0022,120.0000,0.0000,30.0651,89.8205,341.7595,cruise
6.5024,120.0000,0.0000,30.0651,89.8191,341.7203,cruise
7.0026,120.0000,0.0000,30.0651,89.8176,341.6812,cruise
7.5028,120.0000,0.0000,30.0651,89.8162,341.6420,cruise
8.0029,120.0000,0.0000,30.0651,89.8148,341.6028,cruise
8.5031,120.0000,0.0000,30.0651,89.8134,341.5637,cruise
9.0033,120.0000,0.0000,30.0651,89.8119,341.5245,cruise
9.5035,120.0000,0.0000,30.0651,89.8105,341.4854,cruise
10.0037,120.0000,0.0000,30.0651,89.8091,341.4462,cruise
10.5039,120.0000,0.0000,30.0651,89.8076,341.4071,cruise
11.0041,120.0000,0.0000,30.0651,89.8062,341.3680,cruise
11.5042,120.0000,0.0000,30.0651,89.8048,341.3289,cruise
12.0044,120.0000,0.0000,30.0651,89.8033,341.2898,cruise
12.5046,120.0000,0.0000,30.0651,89.8019,341.2507,cruise
13.0048,120.0000,0.0000,30.0651,89.8005,341.2116,cruise
13.5050,120.0000,0.0000,30.0651,89.7990,341.1725,cruise
14.0052,120.0000,0.0000,30.0651,89.7976,341.1334,cruise
14.5053,120.0000,0.0000,30.0651,89.7962,341.0943,cruise
15.0055,120.0000,0.0000,30.0651,89.7947,341.0553,cruise
15.5057,120.0000,0.0000,30.0651,89.7933,341.0162,cruise
16.0059,120.0000,0.0000,30.0651,89.7919,340.9772,cruise
16.5061,120.0000,0.0000,30.0651,89.7904,340.9381,cruise
17.0063,120.0000,0.0000,30.0651,89.7890,340.8991,cruise
17.5065,120.0000,0.0000,30.0651,89.7876,340.8601,cruise
18.0066,120.0000,0.0000,30.0651,89.7861,340.8210,cruise
18.5068,120.0000,0.0000,30.0651,89.7847,340.7820,cruise
19.0070,120.0000,0.0000,30.0651,89.7833,340.7430,cruise
19.5072,120.0000,0.0000,30.0651,89.7818,340.7040,cruise
20.0074,120.0000,0.0000,30.0651,89.7804,340.6650,cruise
20.5076,120.0000,0.0000,30.0651,89.7790,340.6260,cruise
21.0077,120.0000,0.0000,30.0651,89.7775,340.5871,cruise
21.5079,120.0000,0.0000,30.0651,89.7761,340.5481,cruise
22.0081,120.0000,0.0000,30.0651,89.7747,340.5091,cruise
22.5083,120.0000,0.0000,30.0651,89.7733,340.4702,cruise
23.0085,120.0000,0.0000,30.0651,89.7718,340.4312,cruise
23.5087,120.0000,0.0000,30.0651,89.7704,340.3923,cruise
24.0088,120.0000,0.0000,30.0651,89.7690,340.3533,cruise
24.5090,120.0000,0.0000,30.0651,89.7675,340.3144,cruise
25.0092,120.0000,0.0000,30.0651,89.7661,340.2755,cruise
25.5094,120.0000,0.0000,30.0651,89.7647,340.2366,cruise
26.0096,120.0000,0.0000,30.0651,89.7632,340.1977,cruise
26.5098,120.0000,0.0000,30.0651,89.7618,340.1588,cruise
27.0100,120.0000,0.0000,30.0651,89.7604,340.1199,cruise
27.5101,120.0000,0.0000,30.0651,89.7589,340.0810,cruise
28.0103,120.0000,0.0000,30.0651,89.7575,340.0421,cruise
28.5105,120.0000,0.0000,30.0651,89.7561,340.0032,cruise
29.0107,120.0000,0.0000,30.0651,89.7546,339.9644,cruise
29.5109,120.0000,0.0000,30.0651,89.7532,339.9255,cruise
30.0111,120.0000,0.0000,30.0651,89.7518,339.8867,cruise
30.5112,120.0000,0.0000,30.0651,89.7503,339.8478,cruise
31.0114,120.0000,0.0000,30.0651,89.7489,339.8090,cruise
31.5116,120.0000,0.0000,30.0651,89.7475,339.7702,cruise
32.0118,120.0000,0.0000,30.0651,89.7460,339.7313,cruise
32.5120,120.0000,0.0000,30.0651,89.7446,339.6925,cruise
