distance_m,speed_kmh,ax_g,battery_power_kw,soc_pct,motor_temp_c,limiting_factor
0.0000,120.0000,0.0000,30.0651,100.0000,25.0000,cruise
0.5002,120.0000,0.0000,30.0651,99.9986,25.0066,cruise
1.0004,120.0000,0.0000,30.0651,99.9971,25.0132,cruise
1.5006,120.0000,0.0000,30.0651,99.9957,25.0198,cruise
2.0007,120.0000,0.0000,30.0651,99.9943,25.0265,cruise
2.5009,120.0000,0.0000,30.0651,99.9928,25.0331,cruise
3.0011,120.0000,0.0000,30.0651,99.9914,25.0397,cruise
3.5013,120.0000,0.0000,30.0651,99.9900,25.0463,cruise
4.0015,120.0000,0.0000,30.0651,99.9885,25.0529,cruise
4.5017,120.0000,0.0000,30.0651,99.9871,25.0595,cruise
5.0018,120.0000,0.0000,30.0651,99.9857,25.0661,cruise
5.5020,120.0000,0.0000,30.0651,99.9842,25.0727,cruise
6.0022,120.0000,0.0000,30.0651,99.9828,25.0793,cruise
6.5024,120.0000,0.0000,30.0651,99.9814,25.0859,cruise
7.0026,120.0000,0.0000,30.0651,99.9799,25.0925,cruise
7.5028,120.0000,0.0000,30.0651,99.9785,25.0991,cruise
8.0029,120.0000,0.0000,30.0651,99.9771,25.1057,cruise
8.5031,120.0000,0.0000,30.0651,99.9757,25.1123,cruise
9.0033,120.0000,0.0000,30.0651,99.9742,25.1189,cruise
9.5035,120.0000,0.0000,30.0651,99.9728,25.1255,cruise
10.0037,120.0000,0.0000,30.0651,99.9714,25.1321,cruise
10.5039,120.0000,0.0000,30.0651,99.9699,25.1387,cruise
11.0041,120.0000,0.0000,30.0651,99.9685,25.1453,cruise
11.5042,120.0000,0.0000,30.0651,99.9671,25.1518,cruise
12.0044,120.0000,0.0000,30.0651,99.9656,25.1584,cruise
12.5046,120.0000,0.0000,30.0651,99.9642,25.1650,cruise
13.0048,120.0000,0.0000,30.0651,99.9628,25.1716,cruise
13.5050,120.0000,0.0000,30.0651,99.9613,25.1782,cruise
14.0052,120.0000,0.0000,30.0651,99.9599,25.1848,cruise
14.5053,120.0000,0.0000,30.0651,99.9585,25.1913,cruise
15.0055,120.0000,0.0000,30.0651,99.9570,25.1979,cruise
15.5057,120.0000,0.0000,30.0651,99.9556,25.2045,cruise
16.0059,120.0000,0.0000,30.0651,99.9542,25.2111,cruise
16.5061,120.0000,0.0000,30.0651,99.9527,25.2177,cruise
17.0063,120.0000,0.0000,30.0651,99.9513,25.2242,cruise
17.5065,120.0000,0.0000,30.0651,99.9499,25.2308,cruise
18.0066,120.0000,0.0000,30.0651,99.9484,25.2374,cruise
18.5068,120.0000,0.0000,30.0651,99.9470,25.2440,cruise
19.0070,120.0000,0.0000,30.0651,99.9456,25.2505,cruise
19.5072,120.0000,0.0000,30.0651,99.9441,25.2571,cruise
20.0074,120.0000,0.0000,30.0651,99.9427,25.2637,cruise
20.5076,120.0000,0.0000,30.0651,99.9413,25.2702,cruise
21.0077,120.0000,0.0000,30.0651,99.9398,25.2768,cruise
21.5079,120.0000,0.0000,30.0651,99.9384,25.2834,cruise
22.0081,120.0000,0.0000,30.0651,99.9370,25.2899,cruise
22.5083,120.0000,0.0000,30.0651,99.9356,25.2965,cruise
23.0085,120.0000,0.0000,30.0651,99.9341,25.3030,cruise
23.5087,120.0000,0.0000,30.0651,99.9327,25.3096,cruise
24.0088,120.0000,0.0000,30.0651,99.9313,25.3162,cruise
24.5090,120.0000,0.0000,30.0651,99.9298,25.3227,cruise
25.0092,120.0000,0.0000,30.0651,99.9284,25.3293,cruise
25.5094,120.0000,0.0000,30.0651,99.9270,25.3358,cruise
26.0096,120.0000,0.0000,30.0651,99.9255,25.3424,cruise
26.5098,120.0000,0.0000,30.0651,99.9241,25.3489,cruise
27.0100,120.0000,0.0000,30.0651,99.9227,25.3555,cruise
27.5101,120.0000,0.0000,30.0651,99.9212,25.3620,cruise
28.0103,120.0000,0.0000,30.0651,99.9198,25.3686,cruise
28.5105,120.0000,0.0000,30.0651,99.9184,25.3751,cruise
29.0107,120.0000,0.0000,30.0651,99.9169,25.3817,cruise
29.5109,120.0000,0.0000,30.0651,99.9155,25.3882,cruise
30.0111,120.0000,0.0000,30.0651,99.9141,25.3948,cruise
30.5112,120.0000,0.0000,30.0651,99.9126,25.4013,cruise
31.0114,120.0000,0.0000,30.0651,99.9112,25.4079,cruise
31.5116,120.0000,0.0000,30.0651,99.9098,25.4144,cruise
32.0118,120.0000,0.0000,30.0651,99.9083,25.4209,cruise
32.5120,120.0000,0.0000,30.0651,99.9069,25.4275,cruise
33.0122,120.0000,0.0000,30.0651,99.9055,25.4340,cruise
33.5124,120.0000,0.0000,30.0651,99.9040,25.4405,cruise
34.0125,120.0000,0.0000,30.0651,99.9026,25.4471,cruise
34.5127,120.0000,0.0000,30.0651,99.9012,25.4536,cruise
35.0129,120.0000,0.0000,30.0651,99.8997,25.4601,cruise
35.5131,120.0000,0.0000,30.0651,99.8983,25.4667,cruise
36.0133,120.0000,0.0000,30.0651,99.8969,25.4732,cruise
36.5135,120.0000,0.0000,30.0651,99.8954,25.4797,cruise
37.0136,120.0000,0.0000,30.0651,99.8940,25.4863,cruise
37.5138,120.0000,0.0000,30.0651,99.8926,25.4928,cruise
38.0140,120.0000,0.0000,30.0651,99.8912,25.4993,cruise
38.5142,120.0000,0.0000,30.0651,99.8897,25.5058,cruise
39.0144,120.0000,0.0000,30.0651,99.8883,25.5124,cruise
39.5146,120.0000,0.0000,30.0651,99.8869,25.5189,cruise
40.0147,120.0000,0.0000,30.0651,99.8854,25.5254,cruise
40.5149,120.0000,0.0000,30.0651,99.8840,25.5319,cruise
41.0151,120.0000,0.0000,30.0651,99.8826,25.5384,cruise
41.5153,120.0000,0.0000,30.0651,99.8811,25.5450,cruise
42.0155,120.0000,0.0000,30.0651,99.8797,25.5515,cruise
42.5157,120.0000,0.0000,30.0651,99.8783,25.5580,cruise
43.0159,120.0000,0.0000,30.0651,99.8768,25.5645,cruise
43.5160,120.0000,0.0000,30.0651,99.8754,25.5710,cruise
44.0162,120.0000,0.0000,30.0651,99.8740,25.5775,cruise
44.5164,120.0000,0.0000,30.0651,99.8725,25.5840,cruise
45.0166,120.0000,0.0000,30.0651,99.8711,25.5905,cruise
45.5168,120.0000,0.0000,30.0651,99.8697,25.5970,cruise
46.0170,120.0000,0.0000,30.0651,99.8682,25.6035,cruise
46.5171,120.0000,0.0000,30.0651,99.8668,25.6100,cruise
47.0173,120.0000,0.0000,30.0651,99.8654,25.6166,cruise
47.5175,120.0000,-85.2338,0.0000,99.8639,25.6231,braking
48.0177,59.6622,-17.4778,0.0000,99.8639,25.6229,braking
48.5179,36.5606,-5.0187,0.0000,99.8639,25.6227,braking
49.0181,26.4268,-1.7265,0.0000,99.8639,25.6223,braking
49.5183,21.8812,-0.4293,0.0000,99.8639,25.6218,braking
50.0132,20.6097,0.4848,9.8286,99.8639,25.6213,accel
50.5134,22.0550,1.8508,41.9223,99.8613,25.6307,accel
51.0136,26.8666,5.4166,97.0000,99.8515,25.6664,accel
51.5138,37.5596,19.4354,97.0000,99.8343,25.7655,accel
52.0139,62.3106,82.6940,97.0000,99.8232,26.0564,accel
52.5141,120.0000,0.0000,30.0651,99.8171,27.5055,cruise
53.0143,120.0000,0.0000,30.0651,99.8157,27.5117,cruise
53.5145,120.0000,0.0000,30.0651,99.8142,27.5178,cruise
54.0147,120.0000,0.0000,30.0651,99.8128,27.5240,cruise
54.5149,120.0000,0.0000,30.0651,99.8114,27.5301,cruise
55.0151,120.0000,0.0000,30.0651,99.8099,27.5363,cruise
55.5152,120.0000,0.0000,30.0651,99.8085,27.5424,cruise
56.0154,120.0000,0.0000,30.0651,99.8071,27.5486,cruise
56.5156,120.0000,0.0000,30.0651,99.8057,27.5547,cruise
57.0158,120.0000,0.0000,30.0651,99.8042,27.5609,cruise
57.5160,120.0000,0.0000,30.0651,99.8028,27.5670,cruise
58.0162,120.0000,0.0000,30.0651,99.8014,27.5732,cruise
58.5163,120.0000,0.0000,30.0651,99.7999,27.5793,cruise
59.0165,120.0000,0.0000,30.0651,99.7985,27.5855,cruise
59.5167,120.0000,0.0000,30.0651,99.7971,27.5916,cruise
60.0169,120.0000,0.0000,30.0651,99.7956,27.5977,cruise
60.5171,120.0000,0.0000,30.0651,99.7942,27.6039,cruise
61.0173,120.0000,0.0000,30.0651,99.7928,27.6100,cruise
61.5174,120.0000,0.0000,30.0651,99.7913,27.6162,cruise
62.0176,120.0000,0.0000,30.0651,99.7899,27.6223,cruise
62.5178,120.0000,0.0000,30.0651,99.7885,27.6284,cruise
63.0180,120.0000,0.0000,30.0651,99.7870,27.6346,cruise
63.5182,120.0000,0.0000,30.0651,99.7856,27.6407,cruise
64.0184,120.0000,-0.2598,0.0000,99.7842,27.6468,braking
64.5186,119.8623,-88.1847,0.0000,99.7842,27.6463,braking
65.0187,56.1359,-15.0277,0.0000,99.7842,27.6457,braking
65.5189,35.2129,-4.5030,0.0000,99.7842,27.6446,braking
66.0191,25.8311,-1.5687,0.0000,99.7842,27.6429,braking
66.5193,21.6271,-0.3678,0.0000,99.7842,27.6408,braking
67.0051,20.5500,0.5359,10.8347,99.7842,27.6386,accel
67.5053,22.1464,1.9325,44.0783,99.7813,27.6472,accel
68.0055,27.1340,5.6420,97.0000,99.7710,27.6830,accel
68.5057,38.1291,20.4392,97.0000,99.7540,27.7847,accel
69.0059,63.6662,81.3513,97.0000,99.7432,28.0857,accel
69.5061,120.0000,0.0000,30.0651,99.7371,29.5192,cruise
70.0062,120.0000,0.0000,30.0651,99.7357,29.5250,cruise
70.5064,120.0000,0.0000,30.0651,99.7343,29.5308,cruise
71.0066,120.0000,0.0000,30.0651,99.7328,29.5366,cruise
71.5068,120.0000,0.0000,30.0651,99.7314,29.5424,cruise
72.0070,120.0000,0.0000,30.0651,99.7300,29.5481,cruise
72.5072,120.0000,0.0000,30.0651,99.7285,29.5539,cruise
73.0073,120.0000,0.0000,30.0651,99.7271,29.5597,cruise
73.5075,120.0000,0.0000,30.0651,99.7257,29.5655,cruise
74.0077,120.0000,0.0000,30.0651,99.7242,29.5713,cruise
74.5079,120.0000,0.0000,30.0651,99.7228,29.5770,cruise
75.0081,120.0000,0.0000,30.0651,99.7214,29.5828,cruise
75.5083,120.0000,0.0000,30.0651,99.7199,29.5886,cruise
76.0084,120.0000,0.0000,30.0651,99.7185,29.5944,cruise
76.5086,120.0000,0.0000,30.0651,99.7171,29.6001,cruise
77.0088,120.0000,0.0000,30.0651,99.7156,29.6059,cruise
77.5090,120.0000,0.0000,30.0651,99.7142,29.6117,cruise
78.0092,120.0000,0.0000,30.0651,99.7128,29.6174,cruise
78.5094,120.0000,0.0000,30.0651,99.7113,29.6232,cruise
79.0096,120.0000,0.0000,30.0651,99.7099,29.6290,cruise
79.5097,120.0000,0.0000,30.0651,99.7085,29.6347,cruise
80.0099,120.0000,0.0000,30.0651,99.7070,29.6405,cruise
80.5101,120.0000,0.0000,30.0651,99.7056,29.6463,cruise
81.0103,120.0000,0.0000,30.0651,99.7042,29.6520,cruise
81.5105,120.0000,0.0000,30.0651,99.7027,29.6578,cruise
82.0107,120.0000,0.0000,30.0651,99.7013,29.6636,cruise
82.5108,120.0000,0.0000,30.0651,99.6999,29.6693,cruise
83.0110,120.0000,0.0000,30.0651,99.6984,29.6751,cruise
83.5112,120.0000,0.0000,30.0651,99.6970,29.6808,cruise
84.0114,120.0000,0.0000,30.0651,99.6956,29.6866,cruise
84.5116,120.0000,0.0000,30.0651,99.6942,29.6923,cruise
85.0118,120.0000,0.0000,30.0651,99.6927,29.6981,cruise
85.5120,120.0000,0.0000,30.0651,99.6913,29.7039,cruise
86.0121,120.0000,0.0000,30.0651,99.6899,29.7096,cruise
86.5123,120.0000,0.0000,30.0651,99.6884,29.7154,cruise
87.0125,120.0000,-6.2807,0.0000,99.6870,29.7211,braking
87.5127,116.6241,-82.8327,0.0000,99.6870,29.7202,braking
